session_page_id,location_id,shared,dummy_mobile,dummy_desktop,shareability,nugget_pvs,prev_subscribe,prev_share_count,prev_pv_count,prev_sessions,avg_pvs_per_prev_session,delta_created,cur_pv_count
b6be5d70f812fa027af965aea2d54acf,5623d2cb9d12690021000010,shared,0,0,0.020786813,12373518,0,0,40,39,1.025641026,2045,1
7e247c0c1b6a5f25b212845bb9893d2e,561411b7088a040031000148,no_shared,1,0,0.016479972,1244723,0,0,3,3,1,3700,1
2673103c0cafe7744eb306a8723a0b04,5623d2cb9d12690021000010,no_shared,1,0,0.020786813,12373518,0,0,0,0,0,0,2
4ea2ba894b36a0bbe233b1f1b0aea325,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,3,3,1,4363,1
0d6ab19f59d7ef5d33c9d075e9467fe5,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,8,8,1,1414,1
ae78e924acc9808be26d206a65238a17,55afc765666336002cfa0100,shared,1,0,0.010016141,111520,0,0,2,2,1,900,1
a1702cfcf5435bb0d3bb63006453d3a3,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,0,0,0,0,1
96e30b96fe1e8ac76604974045406876,55e595de306466000d820500,shared,1,0,0.019279844,106588,0,0,0,0,0,0,1
e8953cbbd4fb5777c7bb4483dff3d025,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,1,1,1,265,1
384a9bb6f52e6e9b485c94123f036fb5,5623d2cb9d12690021000010,no_shared,1,0,0.020786813,12373518,0,0,1,1,1,6671,1
28f059bc65981fa8e277bbc3db2c3f97,5623d2cb9d12690021000010,no_shared,1,0,0.020786813,12373518,0,0,0,0,0,0,1
a4412b68e68851272b21b88f9dc93665,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,4,3,1.333333333,1406,1
a581778ccee6c0b4945fe78cff219b58,5623d2cb9d12690021000010,shared,1,0,0.020786813,12373518,0,0,0,0,0,3,0
